Tutorial Group,Student ID,School,Name,Gender,CGPA
G-1,5002,CCDS,Aarav Singh,Male,4.02
G-1,3838,EEE,Aarti Nair,Female,4.05
G-1,2091,EEE,Adlan Bin Rahman,Male,4.2
G-1,288,CoB (NBS),Ajay Verma,Male,4.01
G-1,4479,CCDS,Amelia Kim,Female,4.11
G-1,5708,SoH,Ananya Ramesh,Male,4.2
G-1,4563,WKW SCI,Anjali Patel,Female,4.01
G-1,3989,WKW SCI,Anthony Liu,Male,4.15
G-1,2115,EEE,Anya Kumar,Female,4.03
G-1,1383,CoB (NBS),Areeba Khan,Female,4.19
G-1,1417,CoE,Darren Lee,Male,4.12
G-1,1075,CoB (NBS),Felix Yip,Male,4.08
G-1,3148,EEE,Gabriel Young,Male,3.88
G-1,4402,CCDS,Grace Turner,Female,4.08
G-1,945,MAE,Han Li,Female,4.1
